sc.1,sc.2,sc.3,sc.4,connect,efficacy,support,press,stress,depression,dep_risk,gender,race,grade,family
3,3,3,2,11,36,3,15,10,15,Low,Female,White,    11,One
3,2,2,1,8,42,16,23,13,15,Low,Male,Other,    10,Both
3,1,1,2,7,35,12,14,23,15,Low,Female,White,    12,Both
4,3,2,1,10,27,12,14,21,15,Low,Male,White,     9,One
2,2,2,2,8,28,6,25,27,15,Low,Male,White,     9,Both
3,2,3,3,11,45,16,24,29,15,Low,Female,White,    12,One
3,3,2,2,10,39,18,28,35,15,Low,Male,Other,    11,One
3,3,3,3,12,43,13,32,50,15,Low,Male,Other,    12,One
3,3,2,3,11,42,9,29,17,16,Low,Male,White,     9,Both
2,2,2,2,8,29,7,19,23,16,Low,Male,White,    11,Other
1,3,4,3,11,38,17,31,0,16,Low,Male,White,    10,One
3,3,2,3,11,42,14,31,17,16,Low,Male,White,     9,One
2,3,3,3,11,36,10,28,5,16,Low,Female,Other,     9,One
3,3,2,2,10,43,15,27,40,16,Low,Female,White,     9,One
3,3,3,3,12,39,13,24,19,16,Low,Female,White,    11,Other
4,3,3,3,13,41,12,30,21,16,Low,Male,Other,    11,One
2,3,2,3,10,34,12,25,35,16,Low,Male,Other,     9,One
3,3,3,3,12,42,12,30,26,16,Low,Male,White,    10,Both
3,3,3,3,12,36,12,24,28,16,Low,Female,White,    10,One
3,3,2,3,11,43,9,24,51,16,Low,Male,White,     9,One
3,2,3,3,11,37,14,25,17,16,Low,Female,White,     9,One
3,3,3,3,12,38,17,29,29,16,Low,Male,Other,    12,One
4,3,4,3,14,37,13,28,19,16,Low,Female,White,    12,Both
3,1,2,2,8,36,11,23,24,16,Low,Male,Other,    10,One
3,2,2,3,10,27,8,22,10,16,Low,Male,Other,    11,Other
3,3,3,2,11,38,18,22,34,16,Low,Male,White,    10,One
3,2,3,1,9,29,9,21,41,16,Low,Female,Other,    10,One
3,3,3,2,11,39,22,30,22,16,Low,Male,White,    11,One
3,2,3,3,11,41,20,26,17,16,Low,Female,Other,    12,One
4,3,2,1,10,41,6,19,38,16,Low,Male,White,    10,Both
4,3,3,3,13,39,0,25,26,16,Low,Female,Other,    10,One
1,1,1,2,5,40,13,30,20,16,Low,Male,White,    11,One
3,3,3,3,12,32,10,26,40,16,Low,Female,White,    10,Both
4,2,4,3,13,35,13,15,16,17,Low,Male,White,    12,One
3,3,2,1,9,43,6,27,28,17,Low,Female,Other,    11,One
3,3,2,3,11,42,13,27,30,17,Low,Male,Other,    11,One
4,4,4,3,15,40,15,30,37,17,Low,Female,White,    11,Both
3,2,2,2,9,33,6,19,28,17,Low,Female,White,     9,Both
3,3,3,2,11,45,17,30,29,17,Low,Female,White,     9,Both
3,3,3,2,11,45,17,30,29,17,Low,Female,White,     9,Both
3,3,3,2,11,40,14,28,22,17,Low,Female,White,    10,One
4,1,2,1,8,34,19,22,35,17,Low,Female,White,    10,Both
3,3,3,3,12,27,13,25,35,17,Low,Female,White,    12,One
1,2,2,1,6,34,9,24,33,17,Low,Female,White,    10,Both
3,4,3,3,13,41,15,30,28,17,Low,Female,Other,    12,One
2,1,1,2,6,27,10,23,28,17,Low,Male,White,    12,One
